"row_position","keyword","country","weekly_change_display","monthly_change_display","yearly_change_display","search_volume_absolute","search_volume_index","detail_url"
"15","picture day outfit ideas","US","20%","800%","50%","","","https://trends.pinterest.com/detail/?country=US&terms=picture%20day%20outfit%20ideas&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"16","fall going out outfits","US","300%","800%","40%","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20going%20out%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"17","second day of school outfit","US","-10%","700%","-30%","","","https://trends.pinterest.com/detail/?country=US&terms=second%20day%20of%20school%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"18","hoco dresses freshman","US","50%","700%","300%","","","https://trends.pinterest.com/detail/?country=US&terms=hoco%20dresses%20freshman&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"19","autumn outfits 2026","US","20%","700%","10,000%+","","","https://trends.pinterest.com/detail/?country=US&terms=autumn%20outfits%202026&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"20","fall outfits 2026","US","30%","700%","7,000%","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20outfits%202026&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"21","high school football game outfit","US","40%","700%","40%","","","https://trends.pinterest.com/detail/?country=US&terms=high%20school%20football%20game%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"22","early fall outfits women","US","50%","600%","1,500%","","","https://trends.pinterest.com/detail/?country=US&terms=early%20fall%20outfits%20women&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"23","us open outfit","US","40%","600%","-70%","","","https://trends.pinterest.com/detail/?country=US&terms=us%20open%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"24","greyday concert outfit","US","90%","600%","1,000%","","","https://trends.pinterest.com/detail/?country=US&terms=greyday%20concert%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"25","september outfits","US","200%","600%","40%","","","https://trends.pinterest.com/detail/?country=US&terms=september%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"26","picture day outfit","US","20%","600%","-3%","","","https://trends.pinterest.com/detail/?country=US&terms=picture%20day%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"27","rakhi","US","100%","600%","-7%","","","https://trends.pinterest.com/detail/?country=US&terms=rakhi&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"28","early fall outfits","US","-1%","600%","-50%","","","https://trends.pinterest.com/detail/?country=US&terms=early%20fall%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"29","fall bitmoji outfits","US","40%","500%","-60%","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20bitmoji%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"30","picture day outfits","US","6%","500%","-20%","","","https://trends.pinterest.com/detail/?country=US&terms=picture%20day%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"31","fall capsule wardrobe 2026","US","40%","500%","10,000%+","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20capsule%20wardrobe%202026&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"32","senior sunrise outfit","US","5%","500%","100%","","","https://trends.pinterest.com/detail/?country=US&terms=senior%20sunrise%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"33","mafia outfit black women","US","50%","500%","10,000%+","","","https://trends.pinterest.com/detail/?country=US&terms=mafia%20outfit%20black%20women&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"34","iron man costume","US","8%","500%","500%","","","https://trends.pinterest.com/detail/?country=US&terms=iron%20man%20costume&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"35","rob zombie concert outfit","US","3%","500%","7,000%","","","https://trends.pinterest.com/detail/?country=US&terms=rob%20zombie%20concert%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"36","big bang concert outfit","US","60%","500%","10,000%+","","","https://trends.pinterest.com/detail/?country=US&terms=big%20bang%20concert%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"37","football game outfit highschool","US","20%","500%","-70%","","","https://trends.pinterest.com/detail/?country=US&terms=football%20game%20outfit%20highschool&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"38","school outfits shorts","US","3%","500%","-40%","","","https://trends.pinterest.com/detail/?country=US&terms=school%20outfits%20shorts&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"39","what to wear to school","US","10%","500%","-8%","","","https://trends.pinterest.com/detail/?country=US&terms=what%20to%20wear%20to%20school&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"40","apple picking outfit","US","20%","500%","-10%","","","https://trends.pinterest.com/detail/?country=US&terms=apple%20picking%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"41","labor day outfits","US","200%","500%","-60%","","","https://trends.pinterest.com/detail/?country=US&terms=labor%20day%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"42","horror nights outfit","US","100%","500%","100%","","","https://trends.pinterest.com/detail/?country=US&terms=horror%20nights%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"43","fall office outfits for women","US","60%","500%","-60%","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20office%20outfits%20for%20women&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"44","fall photo outfits","US","40%","400%","300%","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20photo%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"45","fall work outfits for women","US","30%","400%","-30%","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20work%20outfits%20for%20women&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"46","omar courtz outfits concert","US","40%","400%","4,500%","","","https://trends.pinterest.com/detail/?country=US&terms=omar%20courtz%20outfits%20concert&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"47","autumn fashion","US","40%","400%","-10%","","","https://trends.pinterest.com/detail/?country=US&terms=autumn%20fashion&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"48","school picture day outfit","US","10%","400%","-30%","","","https://trends.pinterest.com/detail/?country=US&terms=school%20picture%20day%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"49","fall sets","US","70%","400%","60%","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20sets&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"50","women’s fall outfits 2026","US","20%","400%","10,000%+","","","https://trends.pinterest.com/detail/?country=US&terms=women%E2%80%99s%20fall%20outfits%202026&dateRange=365D&genderDetailsPage=&aggregationLevel=2"

