"record_id","product_id","fastmoss_product_url","title","shop_id","shop_name","fastmoss_shop_url","source_page","page_position","list_slot_number","display_rank_raw","display_rank_number","market","country_display","source_category_id","source_category_name","listing_date","price_raw","price_min_display","price_max_display","currency_symbol_display","currency_code","commission_raw","commission_percent_display","shop_sales_raw","shop_sales_display_value","sales_3d_raw","sales_3d_display_value","gmv_3d_raw","gmv_3d_display_value","total_sales_raw","total_sales_display_value","total_gmv_raw","total_gmv_display_value","source_url","collected_at_utc","scope_review_status","scope_review_note","quality_flags"
"p02-r01","1732507529702183712","https://www.fastmoss.com/zh/e-commerce/detail/1732507529702183712","Women's Soft Cotton Fabric Vintage Budweiser Tiger Graphic Printed Short-Sleeve Oversized T-Shirt - Regular Fit Retro Streetwear Style, Casual Summer Everyday Apparel","7494688807776847648","Word Up Tees","https://www.fastmoss.com/zh/shop-marketing/detail/7494688807776847648","2","1","11","11","11","US","美国","2","女装与女士内衣","2026-09-02","$2.99 - 10.80","2.99","10.8","$","","-","","4757","4757","49","49","$146.51","146.51","49","49","$146.51","146.51","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[""commission_not_shown""]"
"p02-r02","1732603039905190438","https://www.fastmoss.com/zh/e-commerce/detail/1732603039905190438","""Tiger Blowing Bubblegum"" Graphic T-Shirt with Sparkling Rhinestone Effect — Retro Hip-Hop Street Style, Casual Unisex Short-Sleeve Tee","7496288090449218086","Printella Boutique","https://www.fastmoss.com/zh/shop-marketing/detail/7496288090449218086","2","2","12","12","12","US","美国","2","女装与女士内衣","2026-09-02","$23.19","23.19","23.19","$","","12%","12","5.31万","53100","49","49","$1136.31","1136.31","49","49","$1136.31","1136.31","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p02-r03","1732516921443783499","https://www.fastmoss.com/zh/e-commerce/detail/1732516921443783499","8pcs of Styles Are Randomly Sent 1pc High Waist Comfort Briefs, Random Color, Breathable and Cool, Contouring Design, Ideal for Summer Shaping, Casual Style, All Season Wear","8657638881737741131","TrendTide Shop.","https://www.fastmoss.com/zh/shop-marketing/detail/8657638881737741131","2","3","13","13","13","US","美国","2","女装与女士内衣","2026-09-02","$7.96","7.96","7.96","$","","-","","178","178","46","46","$399.91","399.91","46","46","$400.66","400.66","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[""commission_not_shown""]"
"p02-r04","1732590784252580614","https://www.fastmoss.com/zh/e-commerce/detail/1732590784252580614","Unisex casual T-shirt-a comfortable everyday top, versatile for all seasons,sohochic","7494514033832986374","Wade Apparel","https://www.fastmoss.com/zh/shop-marketing/detail/7494514033832986374","2","4","14","14","14","US","美国","2","女装与女士内衣","2026-09-02","$99.00","99","99","$","","15%","15","1072","1072","45","45","$4455","4455","70","70","$6930","6930","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[]"
"p02-r05","1732589914625381240","https://www.fastmoss.com/zh/e-commerce/detail/1732589914625381240","Comfort Colors Paraprofessional Halloween T-Shirt, Para Normal Activities Tshirt, Para Pro Fall Graphic Tee, Teacher Aide Gifts, Teacher Assistant Shirt","7495840061480930168","DT ThreadsX","https://www.fastmoss.com/zh/shop-marketing/detail/7495840061480930168","2","5","15","15","15","US","美国","2","女装与女士内衣","2026-09-02","$11.99 - 21.45","11.99","21.45","$","","15%","15","2624","2624","44","44","$527.56","527.56","44","44","$527.56","527.56","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[]"
"p02-r06","1732507872567595797","https://www.fastmoss.com/zh/e-commerce/detail/1732507872567595797","Cherrybetty 100% Cotton Elegant Flower Embroidered Ruffle Trim Collared Jacket Outfit Inspo Spring Summer Fashion Women Going Out Tops Jacket ComfortOutfits","7496084434790353685","Cherrybetty","https://www.fastmoss.com/zh/shop-marketing/detail/7496084434790353685","2","6","16","16","16","US","美国","2","女装与女士内衣","2026-09-02","$42.99","42.99","42.99","$","","10%","10","23.39万","233900","40","40","$1719.6","1719.6","40","40","$1719.6","1719.6","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p02-r07","1732581012615434714","https://www.fastmoss.com/zh/e-commerce/detail/1732581012615434714","American Vintage Striped Boat Neck Bell Sleeve Short Top, Colorful Horizontal Stripes, Retro Casual Style, Perfect for Streetwear and Dates","8646979663901725146","Baillin Dress","https://www.fastmoss.com/zh/shop-marketing/detail/8646979663901725146","2","7","17","17","17","US","美国","2","女装与女士内衣","2026-09-02","$10.61","10.61","10.61","$","","-","","108.59万","1085900","40","40","$523.14","523.14","40","40","$435.17","435.17","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display"",""commission_not_shown"",""has_abbreviated_display_values""]"
"p02-r08","1732496348728955794","https://www.fastmoss.com/zh/e-commerce/detail/1732496348728955794","Women's Wide Leg Sweatpants, High Waist Lounge Pants with Front Pleats and Pockets, Soft Stretch Casual Pants for Travel Pilates","7494238898775558034","GOSOUER","https://www.fastmoss.com/zh/shop-marketing/detail/7494238898775558034","2","8","18","18","18","US","美国","2","女装与女士内衣","2026-09-02","$5.09","5.09","5.09","$","","8%","8","168","168","40","40","$309.1","309.1","40","40","$310.1","310.1","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[]"
"p02-r09","1732501517501567165","https://www.fastmoss.com/zh/e-commerce/detail/1732501517501567165","Women's Mid-Waist Stretchy Flare Denim Bottoms - Tummy Control, Casual, Comfortable, Versatile Curvy Bootcut Jeans","7494748353689715901","Rust Sip","https://www.fastmoss.com/zh/shop-marketing/detail/7494748353689715901","2","9","19","19","19","US","美国","2","女装与女士内衣","2026-09-02","$21.98","21.98","21.98","$","","2%","2","181","181","38","38","$724.24","724.24","38","38","$724.24","724.24","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[]"
"p02-r10","1732606321352938258","https://www.fastmoss.com/zh/e-commerce/detail/1732606321352938258","Women's Summer Wrap V-Neck Midi Dress - Ruffle Short Sleeve, Floral Print A-Line Flowy Style with Belt, Casual Beach Vacation Sundress","7495957659765017362","BETWO","https://www.fastmoss.com/zh/shop-marketing/detail/7495957659765017362","2","10","20","20","20","US","美国","2","女装与女士内衣","2026-09-02","$5.99","5.99","5.99","$","","14.5%","14.5","1.37万","13700","37","37","$539.83","539.83","37","37","$221.63","221.63","https://www.fastmoss.com/zh/e-commerce/newProducts?page=2&region=US&l1_cid=2&pagesize=10","2026-09-06T05:06:36.180Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display"",""has_abbreviated_display_values""]"
"p03-r01","1732462002103029793","https://www.fastmoss.com/zh/e-commerce/detail/1732462002103029793","Women's Lauryn Hill Vintage 90s Hip Hop Cotton Oversize Short-Sleeve Casual Comfy Unisex Streetwear Graphic Tee","7494693596837282849","LAKPINx","https://www.fastmoss.com/zh/shop-marketing/detail/7494693596837282849","3","1","21","21","21","US","美国","2","女装与女士内衣","2026-09-02","$12.03","12.03","12.03","$","","12%","12","37","37","37","37","$445.11","445.11","37","37","$445.11","445.11","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[]"
"p03-r02","1732519883071721634","https://www.fastmoss.com/zh/e-commerce/detail/1732519883071721634","Kleoh V Neck Babydoll Top","7495110761173125282","Edikted","https://www.fastmoss.com/zh/shop-marketing/detail/7495110761173125282","3","2","22","22","22","US","美国","2","女装与女士内衣","2026-09-02","$26.00","26","26","$","","10%","10","238.40万","2384000","36","36","$1289.6","1289.6","36","36","$1279.2","1279.2","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display"",""has_abbreviated_display_values""]"
"p03-r03","1732502144759206077","https://www.fastmoss.com/zh/e-commerce/detail/1732502144759206077","Women's Butt Lifting High Waisted Bootcut Jeans - Stretchy, Comfortable Flare Jeans in Junior Size Vintage Style","7494748353689715901","Rust Sip","https://www.fastmoss.com/zh/shop-marketing/detail/7494748353689715901","3","3","23","23","23","US","美国","2","女装与女士内衣","2026-09-02","$15.98","15.98","15.98","$","","-","","181","181","35","35","$559.3","559.3","35","35","$559.3","559.3","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[""commission_not_shown""]"
"p03-r04","1732603739109823021","https://www.fastmoss.com/zh/e-commerce/detail/1732603739109823021","Retro City Football Hoodie for Men & Women, Color Block Pullover Sweatshirt with Vintage Script Graphic, Casual Game Day Fan Top, Soft Long Sleeve Hooded Sweatshirt for Fall Winter, Tailgate, Weekend Wear, Daily Outfits & Sports-Inspired Street Style","7494575925774157357","Young Goods","https://www.fastmoss.com/zh/shop-marketing/detail/7494575925774157357","3","4","24","24","24","US","美国","2","女装与女士内衣","2026-09-02","$13.99 - 19.99","13.99","19.99","$","","10%","10","1.63万","16300","34","34","$475.66","475.66","34","34","$475.66","475.66","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p03-r05","1732601280710742122","https://www.fastmoss.com/zh/e-commerce/detail/1732601280710742122","Women's Halter Neck Bodycon Mini Dress, Stretch Bandage Party Dress with Square Neckline, Sleeveless Fitted Club Dress for Night Out, Cocktail, Date Night, Birthday, Vacation, Going Out, Summer Evening, Party and Special Occasion Fashion, Outfit","7494235511855154282","Young Habit","https://www.fastmoss.com/zh/shop-marketing/detail/7494235511855154282","3","5","25","25","25","US","美国","2","女装与女士内衣","2026-09-02","$29.69","29.69","29.69","$","","10%","10","20.20万","202000","34","34","$931.16","931.16","43","43","$1174.07","1174.07","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p03-r06","1732485156265103932","https://www.fastmoss.com/zh/e-commerce/detail/1732485156265103932","Latin Bichota style shirt, Tropitour premium cotton T-shirt, Latin queen fan style, Latin pop pattern T-shirt, unisex shirt, comfortable for summer, breathable, pure cotton","7494693830509037116","Fleur Mode 12","https://www.fastmoss.com/zh/shop-marketing/detail/7494693830509037116","3","6","26","26","26","US","美国","2","女装与女士内衣","2026-09-02","$3.99 - 7.99","3.99","7.99","$","","11%","11","348","348","34","34","$135.66","135.66","34","34","$135.66","135.66","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[]"
"p03-r07","1732607479941468894","https://www.fastmoss.com/zh/e-commerce/detail/1732607479941468894","Daisy Bee Costume","7495852900930980574","Leg Avenue","https://www.fastmoss.com/zh/shop-marketing/detail/7495852900930980574","3","7","27","27","27","US","美国","2","女装与女士内衣","2026-09-02","$71.00","71","71","$","","10%","10","3.12万","31200","34","34","$2414","2414","34","34","$2399.8","2399.8","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display"",""has_abbreviated_display_values""]"
"p03-r08","1732549447829918530","https://www.fastmoss.com/zh/e-commerce/detail/1732549447829918530","Nicolle628/Magic Women's basic T-shirt","7495889771750853442","ELENAS BOUTIQUE LLC","https://www.fastmoss.com/zh/shop-marketing/detail/7495889771750853442","3","8","28","28","28","US","美国","2","女装与女士内衣","2026-09-02","$35.00","35","35","$","","14.5%","14.5","5083","5083","33","33","$1155","1155","33","33","$1155","1155","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[]"
"p03-r09","1732594889872543943","https://www.fastmoss.com/zh/e-commerce/detail/1732594889872543943","Baby Velvet Hangers 30 Pack - 11 Inch Premium Felt Non Slip Kids Hanger for Infant & Toddler Clothes - 0.2"" Slim Space-Saving Baby Felt Hangers for Children's Closet with 10 Clips - BeigeGift","7494826222699644103","Florvain","https://www.fastmoss.com/zh/shop-marketing/detail/7494826222699644103","3","9","29","29","29","US","美国","2","女装与女士内衣","2026-09-02","$32.18 - 42.78","32.18","42.78","$","","14.5%","14.5","108","108","31","31","$997.58","997.58","31","31","$997.58","997.58","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","suspected_non_clothing","标题为 Baby Velvet Hangers，疑似衣架，暂不纳入服装候选。","[""suspected_non_clothing""]"
"p03-r10","1732569019778633802","https://www.fastmoss.com/zh/e-commerce/detail/1732569019778633802","1977 Graphic Hoodie Set for Men Women, Matching Sweatshirt and Jogger Pants, Casual Streetwear Tracksuit Outfit","7494802823601685578","mqrcospappalardo1","https://www.fastmoss.com/zh/shop-marketing/detail/7494802823601685578","3","10","30","30","30","US","美国","2","女装与女士内衣","2026-09-02","$35.00 - 70.00","35","70","$","","5%","5","26","26","30","30","$1050","1050","30","30","$1050","1050","https://www.fastmoss.com/zh/e-commerce/newProducts?page=3&region=US&l1_cid=2&pagesize=10","2026-09-06T05:10:24.463Z","not_flagged_by_title","","[]"
"p04-r01","1732523028485148833","https://www.fastmoss.com/zh/e-commerce/detail/1732523028485148833","Women's Mid-Length Plaid Shirt, Long Sleeve Plaid Shirt Jacket, Ladies' Fashionable Casual Outerwear, Stylish Hooded Top","8657776448797577377","Millcrane Chic","https://www.fastmoss.com/zh/shop-marketing/detail/8657776448797577377","4","1","31","31","31","US","美国","2","女装与女士内衣","2026-09-02","$20.01","20.01","20.01","$","","8%","8","268","268","27","27","$350.59","350.59","27","27","$332.3","332.3","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display""]"
"p04-r02","1732539453622096648","https://www.fastmoss.com/zh/e-commerce/detail/1732539453622096648","Women's Polka Dot Cropped Long Sleeve Top | Slim Fit Stretchy Soft Round Neck Tee | Vintage Y2K Casual Basic for Layering & Streetwear","8657568901213557512","MAISON FLORA.","https://www.fastmoss.com/zh/shop-marketing/detail/8657568901213557512","4","2","32","32","32","US","美国","2","女装与女士内衣","2026-09-02","$12.27","12.27","12.27","$","","-","","144","144","26","26","$319.02","319.02","26","26","$319.02","319.02","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[""commission_not_shown""]"
"p04-r03","1732575154145300545","https://www.fastmoss.com/zh/e-commerce/detail/1732575154145300545","Premium Cotton T- -Latin Queen Graphic Tee, Latin Pop Concert Tour Merch, Cute Festival Summer , Unisex Gift for Latin Fans women shirts","7494801223158039617","PlainHue Tees","https://www.fastmoss.com/zh/shop-marketing/detail/7494801223158039617","4","3","33","33","33","US","美国","2","女装与女士内衣","2026-09-02","$6.59","6.59","6.59","$","","10%","10","512","512","25","25","$164.75","164.75","57","57","$396.75","396.75","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[]"
"p04-r04","1732607552355340920","https://www.fastmoss.com/zh/e-commerce/detail/1732607552355340920","Lizie Women's 2-Piece Rhinestone Velvet Stretchy Suits, Long Sleeve Trending Top & Basic Minimalist Bottom for Casual Wear","7494355722126984824","Salvyfashion","https://www.fastmoss.com/zh/shop-marketing/detail/7494355722126984824","4","4","34","34","34","US","美国","2","女装与女士内衣","2026-09-02","$30.99","30.99","30.99","$","","10%","10","783","783","25","25","$849.9","849.9","25","25","$849.9","849.9","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[]"
"p04-r05","1732537670096359471","https://www.fastmoss.com/zh/e-commerce/detail/1732537670096359471","[50% Off] Women's First Down Cotton Football Sweatshirt - Retro Team Colors, Sport Grey, Breathable, Casual, Comfy, Fit, Everyday Gift for Football Fans TY XG3","7494740377116247087","Northline Studio LLC","https://www.fastmoss.com/zh/shop-marketing/detail/7494740377116247087","4","5","35","35","35","US","美国","2","女装与女士内衣","2026-09-02","$14.62 - 24.28","14.62","24.28","$","","17%","17","116","116","24","24","$361.88","361.88","24","24","$361.88","361.88","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[]"
"p04-r06","1732501872595800243","https://www.fastmoss.com/zh/e-commerce/detail/1732501872595800243","Atlanta Kaisen T-Shirt, Jujutsu Kaisen Anime Tee, Gifts Shirt, Unisex Vintage Graphic Tees Gothic Grunge Y2k Emo Scene Amity Affliction Style Clothes Men Women Streetwear Must-Have Anime Inspired Vintage Style Casual Shirt graphic tees, Anime Print, Round","7494606860914885811","Sage Plain Look","https://www.fastmoss.com/zh/shop-marketing/detail/7494606860914885811","4","6","36","36","36","US","美国","2","女装与女士内衣","2026-09-02","$2.99 - 10.80","2.99","10.8","$","","14.5%","14.5","2.12万","21200","23","23","$68.77","68.77","23","23","$68.77","68.77","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p04-r07","1732584743583518904","https://www.fastmoss.com/zh/e-commerce/detail/1732584743583518904","Women's Christmas Themed Pajama Set, Long Sleeve Top & Full-Length Pants, Comfortable Home Wear, Cartoon Pattern, Casual Style","8656043273482113208","Ovila Home","https://www.fastmoss.com/zh/shop-marketing/detail/8656043273482113208","4","7","37","37","37","US","美国","2","女装与女士内衣","2026-09-02","$19.25","19.25","19.25","$","","8%","8","1459","1459","23","23","$404.55","404.55","23","23","$267.03","267.03","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display""]"
"p04-r08","1732477589055115823","https://www.fastmoss.com/zh/e-commerce/detail/1732477589055115823","Women's Oversized Boxy Fit Heavyweight Graphic T-Shirt - Ribbed, Short-Sleeve, Round Neck, Breathable Cotton, Become Ungovernable Funny Cat Biting Hand Print, Vintage Silly Cat Top, Unisex Gag Gift, S-5XL","7494608840073315887","Street Loft","https://www.fastmoss.com/zh/shop-marketing/detail/7494608840073315887","4","8","38","38","38","US","美国","2","女装与女士内衣","2026-09-02","$1.99","1.99","1.99","$","","-","","2778","2778","23","23","$45.77","45.77","23","23","$45.77","45.77","https://www.fastmoss.com/zh/e-commerce/newProducts?page=4&region=US&l1_cid=2&pagesize=10","2026-09-06T05:12:59.583Z","not_flagged_by_title","","[""commission_not_shown""]"
